Tissue/Biosample,Biosample,Assays,Organ/Tissue,Sample Type,Life Stage,Collection,cCREs (.bed),cCREs (.bigBed),DNase Exp. ID,DNase File ID,DNase Z-scores,DNase Signal,ATAC Exp. ID,ATAC File ID,ATAC Z-scores,ATAC Signal,H3K4me3 Exp. ID,H3K4me3 File ID,H3K4me3 Z-scores,H3K4me3 Signal,H3K27ac Exp. ID,H3K27ac File ID,H3K27ac Z-scores,H3K27ac Signal,CTCF Exp. ID,CTCF File ID,CTCF Z-scores,CTCF Signal,ChromHMM States,Has RNA Seq
Adipose,,,,,,,https://downloads.wenglab.org/adipose.noccl.cCREs.bed,,,,,,,,,,,,,,,,,,,,,,,no
"Mesenteric fat pad, female adult (59 years)","Mesenteric fat pad, female adult (59 years)",DNase,Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF170YYM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF170YYM.bigBed,ENCSR197BFD,ENCFF170YYM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR197BFD-ENCFF170YYM.tsv,https://www.encodeproject.org/files/ENCFF170YYM/@@download/ENCFF170YYM.bigWig,,,,,,,,,,,,,,,,,,yes
"Omental fat pad, female adult (51 years)","Omental fat pad, female adult (51 years)","DNase,ATAC,CTCF",Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF606INL_ENCFF501ILD.bed,https://downloads.wenglab.org/Registry-V4/ENCFF606INL_ENCFF501ILD.bigBed,ENCSR693UHT,ENCFF606INL,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR693UHT-ENCFF606INL.tsv,https://www.encodeproject.org/files/ENCFF606INL/@@download/ENCFF606INL.bigWig,ENCSR788TRR,ENCFF529ZQT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR788TRR-ENCFF529ZQT.tsv,https://www.encodeproject.org/files/ENCFF529ZQT/@@download/ENCFF529ZQT.bigWig,,,,,,,,,ENCSR225OKX,ENCFF501ILD,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR225OKX-ENCFF501ILD.tsv,https://www.encodeproject.org/files/ENCFF501ILD/@@download/ENCFF501ILD.bigWig,,yes
"Omental fat pad, female adult (53 years)","Omental fat pad, female adult (53 years)",DNase,Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF724SLN.bed,https://downloads.wenglab.org/Registry-V4/ENCFF724SLN.bigBed,ENCSR154OUQ,ENCFF724SLN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR154OUQ-ENCFF724SLN.tsv,https://www.encodeproject.org/files/ENCFF724SLN/@@download/ENCFF724SLN.bigWig,,,,,,,,,,,,,,,,,,yes
"Adipose tissue, male adult (34 years)","Adipose tissue, male adult (34 years)",H3K27ac,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF922YMQ.bed,https://downloads.wenglab.org/Registry-V4/ENCFF922YMQ.bigBed,,,,,,,,,,,,,ENCSR082SHT,ENCFF922YMQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR082SHT-ENCFF922YMQ.tsv,https://www.encodeproject.org/files/ENCFF922YMQ/@@download/ENCFF922YMQ.bigWig,,,,,,no
"Mesenteric fat pad, male adult (26 years)","Mesenteric fat pad, male adult (26 years)",ATAC,Adipose,Tissue,Adult,Ancillary,,,,,,,ENCSR551CSY,ENCFF650BOQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR551CSY-ENCFF650BOQ.tsv,https://www.encodeproject.org/files/ENCFF650BOQ/@@download/ENCFF650BOQ.bigWig,,,,,,,,,,,,,,no
"Omental fat pad, male adult (37 years)","Omental fat pad, male adult (37 years)",CTCF,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF264NFG.bed,https://downloads.wenglab.org/Registry-V4/ENCFF264NFG.bigBed,,,,,,,,,,,,,,,,,ENCSR089DTY,ENCFF264NFG,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR089DTY-ENCFF264NFG.tsv,https://www.encodeproject.org/files/ENCFF264NFG/@@download/ENCFF264NFG.bigWig,,yes
"Omental fat pad, male adult (54 years)","Omental fat pad, male adult (54 years)",CTCF,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF610NJT.bed,https://downloads.wenglab.org/Registry-V4/ENCFF610NJT.bigBed,,,,,,,,,,,,,,,,,ENCSR005LPI,ENCFF610NJT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR005LPI-ENCFF610NJT.tsv,https://www.encodeproject.org/files/ENCFF610NJT/@@download/ENCFF610NJT.bigWig,,yes
"Subcutaneous abdominal adipose tissue, female adult (25 years) nuclear fraction","Subcutaneous abdominal adipose tissue, female adult (25 years) nuclear fraction",H3K4me3,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF486KLP.bed,https://downloads.wenglab.org/Registry-V4/ENCFF486KLP.bigBed,,,,,,,,,ENCSR703CYD,ENCFF486KLP,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR703CYD-ENCFF486KLP.tsv,https://www.encodeproject.org/files/ENCFF486KLP/@@download/ENCFF486KLP.bigWig,,,,,,,,,,no
"Subcutaneous abdominal adipose tissue, female adult (41 years) nuclear fraction","Subcutaneous abdominal adipose tissue, female adult (41 years) nuclear fraction",H3K4me3,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF187IWC.bed,https://downloads.wenglab.org/Registry-V4/ENCFF187IWC.bigBed,,,,,,,,,ENCSR501FTL,ENCFF187IWC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR501FTL-ENCFF187IWC.tsv,https://www.encodeproject.org/files/ENCFF187IWC/@@download/ENCFF187IWC.bigWig,,,,,,,,,,no
"Subcutaneous abdominal adipose tissue, female adult (49 years) nuclear fraction","Subcutaneous abdominal adipose tissue, female adult (49 years) nuclear fraction","H3K4me3,H3K27ac",Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF162OOB_ENCFF608YXU.bed,https://downloads.wenglab.org/Registry-V4/ENCFF162OOB_ENCFF608YXU.bigBed,,,,,,,,,ENCSR605NNZ,ENCFF162OOB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR605NNZ-ENCFF162OOB.tsv,https://www.encodeproject.org/files/ENCFF162OOB/@@download/ENCFF162OOB.bigWig,ENCSR011MGQ,ENCFF608YXU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR011MGQ-ENCFF608YXU.tsv,https://www.encodeproject.org/files/ENCFF608YXU/@@download/ENCFF608YXU.bigWig,,,,,https://downloads.wenglab.org/ChIP_ENCSR605NNZ-ENCSR011MGQ-ENCSR664RRY-ENCSR989POD-ENCSR731XOV-ENCSR286WUR.bigBed,no
"Subcutaneous abdominal adipose tissue, female adult (59 years) nuclear fraction","Subcutaneous abdominal adipose tissue, female adult (59 years) nuclear fraction",H3K4me3,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF985SAO.bed,https://downloads.wenglab.org/Registry-V4/ENCFF985SAO.bigBed,,,,,,,,,ENCSR923IIU,ENCFF985SAO,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR923IIU-ENCFF985SAO.tsv,https://www.encodeproject.org/files/ENCFF985SAO/@@download/ENCFF985SAO.bigWig,,,,,,,,,,no
"Subcutaneous abdominal adipose tissue, female adult (81 years) nuclear fraction","Subcutaneous abdominal adipose tissue, female adult (81 years) nuclear fraction",H3K4me3,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF238MHL.bed,https://downloads.wenglab.org/Registry-V4/ENCFF238MHL.bigBed,,,,,,,,,ENCSR294PQF,ENCFF238MHL,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR294PQF-ENCFF238MHL.tsv,https://www.encodeproject.org/files/ENCFF238MHL/@@download/ENCFF238MHL.bigWig,,,,,,,,,,no
"Subcutaneous adipose tissue, female adult (53 years)","Subcutaneous adipose tissue, female adult (53 years)","ATAC,CTCF",Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF375DVU.bed,https://downloads.wenglab.org/Registry-V4/ENCFF375DVU.bigBed,,,,,ENCSR540BML,ENCFF094EYJ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR540BML-ENCFF094EYJ.tsv,https://www.encodeproject.org/files/ENCFF094EYJ/@@download/ENCFF094EYJ.bigWig,,,,,,,,,ENCSR762PCG,ENCFF375DVU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR762PCG-ENCFF375DVU.tsv,https://www.encodeproject.org/files/ENCFF375DVU/@@download/ENCFF375DVU.bigWig,,yes
Adrenal gland,,,,,,,https://downloads.wenglab.org/adrenal_gland.noccl.cCREs.bed,,,,,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female adult (41 years)","Adrenal gland, female adult (41 years)","DNase,ATAC,H3K4me3,H3K27ac,CTCF",Adrenal gland,Tissue,Adult,Core,https://downloads.wenglab.org/Registry-V4/ENCFF237KCK_ENCFF700TZZ_ENCFF988QAR_ENCFF796PZW.bed,https://downloads.wenglab.org/Registry-V4/ENCFF237KCK_ENCFF700TZZ_ENCFF988QAR_ENCFF796PZW.bigBed,ENCSR325FWM,ENCFF237KCK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR325FWM-ENCFF237KCK.tsv,https://www.encodeproject.org/files/ENCFF237KCK/@@download/ENCFF237KCK.bigWig,ENCSR864ADD,ENCFF854MVA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR864ADD-ENCFF854MVA.tsv,https://www.encodeproject.org/files/ENCFF854MVA/@@download/ENCFF854MVA.bigWig,ENCSR775NSL,ENCFF700TZZ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR775NSL-ENCFF700TZZ.tsv,https://www.encodeproject.org/files/ENCFF700TZZ/@@download/ENCFF700TZZ.bigWig,ENCSR837CSL,ENCFF988QAR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR837CSL-ENCFF988QAR.tsv,https://www.encodeproject.org/files/ENCFF988QAR/@@download/ENCFF988QAR.bigWig,ENCSR188XCX,ENCFF796PZW,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR188XCX-ENCFF796PZW.tsv,https://www.encodeproject.org/files/ENCFF796PZW/@@download/ENCFF796PZW.bigWig,https://downloads.wenglab.org/ChIP_ENCSR775NSL-ENCSR837CSL-ENCSR038KST-ENCSR404HTG-ENCSR086QZD-ENCSR886FKD.bigBed,yes
"Adrenal gland, female adult (51 years)","Adrenal gland, female adult (51 years)","DNase,ATAC,H3K4me3,H3K27ac,CTCF",Adrenal gland,Tissue,Adult,Core,https://downloads.wenglab.org/Registry-V4/ENCFF693WYZ_ENCFF672KET_ENCFF355RRY_ENCFF673UYG.bed,https://downloads.wenglab.org/Registry-V4/ENCFF693WYZ_ENCFF672KET_ENCFF355RRY_ENCFF673UYG.bigBed,ENCSR259GYP,ENCFF693WYZ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR259GYP-ENCFF693WYZ.tsv,https://www.encodeproject.org/files/ENCFF693WYZ/@@download/ENCFF693WYZ.bigWig,ENCSR414DVK,ENCFF096NDM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR414DVK-ENCFF096NDM.tsv,https://www.encodeproject.org/files/ENCFF096NDM/@@download/ENCFF096NDM.bigWig,ENCSR006TUH,ENCFF672KET,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR006TUH-ENCFF672KET.tsv,https://www.encodeproject.org/files/ENCFF672KET/@@download/ENCFF672KET.bigWig,ENCSR086QZY,ENCFF355RRY,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR086QZY-ENCFF355RRY.tsv,https://www.encodeproject.org/files/ENCFF355RRY/@@download/ENCFF355RRY.bigWig,ENCSR014GSQ,ENCFF673UYG,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR014GSQ-ENCFF673UYG.tsv,https://www.encodeproject.org/files/ENCFF673UYG/@@download/ENCFF673UYG.bigWig,,yes
"Adrenal gland, female adult (53 years)","Adrenal gland, female adult (53 years)","DNase,H3K4me3,H3K27ac,CTCF",Adrenal gland,Tissue,Adult,Core,https://downloads.wenglab.org/Registry-V4/ENCFF518SGA_ENCFF827GEQ_ENCFF235TYQ_ENCFF419QIY.bed,https://downloads.wenglab.org/Registry-V4/ENCFF518SGA_ENCFF827GEQ_ENCFF235TYQ_ENCFF419QIY.bigBed,ENCSR053ZKP,ENCFF518SGA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR053ZKP-ENCFF518SGA.tsv,https://www.encodeproject.org/files/ENCFF518SGA/@@download/ENCFF518SGA.bigWig,,,,,ENCSR605QAV,ENCFF827GEQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR605QAV-ENCFF827GEQ.tsv,https://www.encodeproject.org/files/ENCFF827GEQ/@@download/ENCFF827GEQ.bigWig,ENCSR189QAD,ENCFF235TYQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR189QAD-ENCFF235TYQ.tsv,https://www.encodeproject.org/files/ENCFF235TYQ/@@download/ENCFF235TYQ.bigWig,ENCSR770IWO,ENCFF419QIY,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR770IWO-ENCFF419QIY.tsv,https://www.encodeproject.org/files/ENCFF419QIY/@@download/ENCFF419QIY.bigWig,,yes
"Adrenal gland, male adult (37 years)","Adrenal gland, male adult (37 years)","DNase,ATAC,H3K4me3,H3K27ac,CTCF",Adrenal gland,Tissue,Adult,Core,https://downloads.wenglab.org/Registry-V4/ENCFF801REE_ENCFF053KMZ_ENCFF860MMV_ENCFF804PBU.bed,https://downloads.wenglab.org/Registry-V4/ENCFF801REE_ENCFF053KMZ_ENCFF860MMV_ENCFF804PBU.bigBed,ENCSR277KRY,ENCFF801REE,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR277KRY-ENCFF801REE.tsv,https://www.encodeproject.org/files/ENCFF801REE/@@download/ENCFF801REE.bigWig,ENCSR548KIL,ENCFF083NYF,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR548KIL-ENCFF083NYF.tsv,https://www.encodeproject.org/files/ENCFF083NYF/@@download/ENCFF083NYF.bigWig,ENCSR620TXL,ENCFF053KMZ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR620TXL-ENCFF053KMZ.tsv,https://www.encodeproject.org/files/ENCFF053KMZ/@@download/ENCFF053KMZ.bigWig,ENCSR094VJC,ENCFF860MMV,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR094VJC-ENCFF860MMV.tsv,https://www.encodeproject.org/files/ENCFF860MMV/@@download/ENCFF860MMV.bigWig,ENCSR899JSO,ENCFF804PBU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR899JSO-ENCFF804PBU.tsv,https://www.encodeproject.org/files/ENCFF804PBU/@@download/ENCFF804PBU.bigWig,,yes
"Adrenal gland, male adult (54 years)","Adrenal gland, male adult (54 years)","DNase,ATAC,H3K4me3,H3K27ac,CTCF",Adrenal gland,Tissue,Adult,Core,https://downloads.wenglab.org/Registry-V4/ENCFF316SZE_ENCFF263CSV_ENCFF144JOJ_ENCFF035TJC.bed,https://downloads.wenglab.org/Registry-V4/ENCFF316SZE_ENCFF263CSV_ENCFF144JOJ_ENCFF035TJC.bigBed,ENCSR458AOS,ENCFF316SZE,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR458AOS-ENCFF316SZE.tsv,https://www.encodeproject.org/files/ENCFF316SZE/@@download/ENCFF316SZE.bigWig,ENCSR113MBR,ENCFF469CYE,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR113MBR-ENCFF469CYE.tsv,https://www.encodeproject.org/files/ENCFF469CYE/@@download/ENCFF469CYE.bigWig,ENCSR926NMC,ENCFF263CSV,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR926NMC-ENCFF263CSV.tsv,https://www.encodeproject.org/files/ENCFF263CSV/@@download/ENCFF263CSV.bigWig,ENCSR177QFY,ENCFF144JOJ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR177QFY-ENCFF144JOJ.tsv,https://www.encodeproject.org/files/ENCFF144JOJ/@@download/ENCFF144JOJ.bigWig,ENCSR450BLH,ENCFF035TJC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR450BLH-ENCFF035TJC.tsv,https://www.encodeproject.org/files/ENCFF035TJC/@@download/ENCFF035TJC.bigWig,,yes
"Adrenal gland, embryo (96 days)","Adrenal gland, embryo (96 days)",DNase,Adrenal gland,Tissue,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF098BSH.bed,https://downloads.wenglab.org/Registry-V4/ENCFF098BSH.bigBed,ENCSR060BFU,ENCFF098BSH,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR060BFU-ENCFF098BSH.tsv,https://www.encodeproject.org/files/ENCFF098BSH/@@download/ENCFF098BSH.bigWig,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female adult (47 years)","Adrenal gland, female adult (47 years)","DNase,ATAC",Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF231WCT.bed,https://downloads.wenglab.org/Registry-V4/ENCFF231WCT.bigBed,ENCSR541JMK,ENCFF231WCT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR541JMK-ENCFF231WCT.tsv,https://www.encodeproject.org/files/ENCFF231WCT/@@download/ENCFF231WCT.bigWig,ENCSR651SOJ,ENCFF748LCE,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR651SOJ-ENCFF748LCE.tsv,https://www.encodeproject.org/files/ENCFF748LCE/@@download/ENCFF748LCE.bigWig,,,,,,,,,,,,,,yes
"Adrenal gland, female child (16 years)","Adrenal gland, female child (16 years)","DNase,ATAC",Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF544IBL.bed,https://downloads.wenglab.org/Registry-V4/ENCFF544IBL.bigBed,ENCSR962VJO,ENCFF544IBL,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR962VJO-ENCFF544IBL.tsv,https://www.encodeproject.org/files/ENCFF544IBL/@@download/ENCFF544IBL.bigWig,ENCSR553LAZ,ENCFF593JPB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR553LAZ-ENCFF593JPB.tsv,https://www.encodeproject.org/files/ENCFF593JPB/@@download/ENCFF593JPB.bigWig,,,,,,,,,,,,,,yes
"Adrenal gland, female embryo (108 days)","Adrenal gland, female embryo (108 days)",DNase,Adrenal gland,Tissue,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF438OIC.bed,https://downloads.wenglab.org/Registry-V4/ENCFF438OIC.bigBed,ENCSR419MZH,ENCFF438OIC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR419MZH-ENCFF438OIC.tsv,https://www.encodeproject.org/files/ENCFF438OIC/@@download/ENCFF438OIC.bigWig,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female embryo (113 days)","Adrenal gland, female embryo (113 days)",DNase,Adrenal gland,Tissue,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF676EBG.bed,https://downloads.wenglab.org/Registry-V4/ENCFF676EBG.bigBed,ENCSR696XSJ,ENCFF676EBG,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR696XSJ-ENCFF676EBG.tsv,https://www.encodeproject.org/files/ENCFF676EBG/@@download/ENCFF676EBG.bigWig,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female embryo (85 days)","Adrenal gland, female embryo (85 days)",DNase,Adrenal gland,Tissue,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF004OUB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF004OUB.bigBed,ENCSR866RCY,ENCFF004OUB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR866RCY-ENCFF004OUB.tsv,https://www.encodeproject.org/files/ENCFF004OUB/@@download/ENCFF004OUB.bigWig,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male embryo (101 days)","Adrenal gland, male embryo (101 days)",DNase,Adrenal gland,Tissue,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF967PSY.bed,https://downloads.wenglab.org/Registry-V4/ENCFF967PSY.bigBed,ENCSR080PZL,ENCFF967PSY,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR080PZL-ENCFF967PSY.tsv,https://www.encodeproject.org/files/ENCFF967PSY/@@download/ENCFF967PSY.bigWig,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male embryo (108 days)","Adrenal gland, male embryo (108 days)",DNase,Adrenal gland,Tissue,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF379NJY.bed,https://downloads.wenglab.org/Registry-V4/ENCFF379NJY.bigBed,ENCSR728BAD,ENCFF379NJY,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR728BAD-ENCFF379NJY.tsv,https://www.encodeproject.org/files/ENCFF379NJY/@@download/ENCFF379NJY.bigWig,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male embryo (85 days)","Adrenal gland, male embryo (85 days)",DNase,Adrenal gland,Tissue,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF242OKC.bed,https://downloads.wenglab.org/Registry-V4/ENCFF242OKC.bigBed,ENCSR856QJX,ENCFF242OKC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR856QJX-ENCFF242OKC.tsv,https://www.encodeproject.org/files/ENCFF242OKC/@@download/ENCFF242OKC.bigWig,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female adult (30 years)","Adrenal gland, female adult (30 years)","H3K4me3,H3K27ac",Adrenal gland,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF623WKE_ENCFF244XNP.bed,https://downloads.wenglab.org/Registry-V4/ENCFF623WKE_ENCFF244XNP.bigBed,,,,,,,,,ENCSR425NQT,ENCFF623WKE,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR425NQT-ENCFF623WKE.tsv,https://www.encodeproject.org/files/ENCFF623WKE/@@download/ENCFF623WKE.bigWig,ENCSR642HHF,ENCFF244XNP,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR642HHF-ENCFF244XNP.tsv,https://www.encodeproject.org/files/ENCFF244XNP/@@download/ENCFF244XNP.bigWig,,,,,,no
"Adrenal gland, female adult (59 years)","Adrenal gland, female adult (59 years)",ATAC,Adrenal gland,Tissue,Adult,Ancillary,,,,,,,ENCSR241OBO,ENCFF404IAG,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR241OBO-ENCFF404IAG.tsv,https://www.encodeproject.org/files/ENCFF404IAG/@@download/ENCFF404IAG.bigWig,,,,,,,,,,,,,,no
"Adrenal gland, male adult (26 years)","Adrenal gland, male adult (26 years)",ATAC,Adrenal gland,Tissue,Adult,Ancillary,,,,,,,ENCSR542RNG,ENCFF413EZP,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR542RNG-ENCFF413EZP.tsv,https://www.encodeproject.org/files/ENCFF413EZP/@@download/ENCFF413EZP.bigWig,,,,,,,,,,,,,,no
"Adrenal gland, male adult (34 years)","Adrenal gland, male adult (34 years)","H3K4me3,H3K27ac",Adrenal gland,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF928LBS_ENCFF659XPV.bed,https://downloads.wenglab.org/Registry-V4/ENCFF928LBS_ENCFF659XPV.bigBed,,,,,,,,,ENCSR234YIU,ENCFF928LBS,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR234YIU-ENCFF928LBS.tsv,https://www.encodeproject.org/files/ENCFF928LBS/@@download/ENCFF928LBS.bigWig,ENCSR405ESP,ENCFF659XPV,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR405ESP-ENCFF659XPV.tsv,https://www.encodeproject.org/files/ENCFF659XPV/@@download/ENCFF659XPV.bigWig,,,,,https://downloads.wenglab.org/ChIP_ENCSR234YIU-ENCSR405ESP-ENCSR511GOF-ENCSR942XCE-ENCSR181JFC-ENCSR992VZG.bigBed,no
"Adrenal gland, male embryo (97 days)","Adrenal gland, male embryo (97 days)","H3K4me3,H3K27ac",Adrenal gland,Tissue,Embryonic,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF678USC_ENCFF735UKH.bed,https://downloads.wenglab.org/Registry-V4/ENCFF678USC_ENCFF735UKH.bigBed,,,,,,,,,ENCSR715KGX,ENCFF678USC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR715KGX-ENCFF678USC.tsv,https://www.encodeproject.org/files/ENCFF678USC/@@download/ENCFF678USC.bigWig,ENCSR847AIA,ENCFF735UKH,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR847AIA-ENCFF735UKH.tsv,https://www.encodeproject.org/files/ENCFF735UKH/@@download/ENCFF735UKH.bigWig,,,,,https://downloads.wenglab.org/ChIP_ENCSR715KGX-ENCSR847AIA-ENCSR207ZIA-ENCSR760LFY-ENCSR218BPG-ENCSR651IVN.bigBed,no
Blood,,,,,,,"https://downloads.wenglab.org/blood.noccl.cCREs.bed,https://downloads.wenglab.org/blood.all.cCREs.bed",,,,,,,,,,,,,,,,,,,,,,,no
