Tissue/Biosample,Biosample,Assays,Organ/Tissue,Sample Type,Life Stage,Collection,cCREs (.bed),cCREs (.bigBed),DNase Exp. ID,DNase File ID,DNase Z-scores,DNase Signal,ATAC Exp. ID,ATAC File ID,ATAC Z-scores,ATAC Signal,H3K4me3 Exp. ID,H3K4me3 File ID,H3K4me3 Z-scores,H3K4me3 Signal,H3K27ac Exp. ID,H3K27ac File ID,H3K27ac Z-scores,H3K27ac Signal,CTCF Exp. ID,CTCF File ID,CTCF Z-scores,CTCF Signal,ChromHMM States,Has RNA Seq
GM12864,GM12864,"DNase,H3K4me3,CTCF",Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF218CLQ_ENCFF012JLQ_ENCFF070FTG.bed,https://downloads.wenglab.org/Registry-V4/ENCFF218CLQ_ENCFF012JLQ_ENCFF070FTG.bigBed,ENCSR000EMR,ENCFF218CLQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EMR-ENCFF218CLQ.tsv,https://www.encodeproject.org/files/ENCFF218CLQ/@@download/ENCFF218CLQ.bigWig,,,,,ENCSR000DQZ,ENCFF012JLQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DQZ-ENCFF012JLQ.tsv,https://www.encodeproject.org/files/ENCFF012JLQ/@@download/ENCFF012JLQ.bigWig,,,,,ENCSR000DRB,ENCFF070FTG,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DRB-ENCFF070FTG.tsv,https://www.encodeproject.org/files/ENCFF070FTG/@@download/ENCFF070FTG.bigWig,,no
GM12865,GM12865,"DNase,H3K4me3,CTCF",Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF830BXD_ENCFF835KIQ_ENCFF452NQO.bed,https://downloads.wenglab.org/Registry-V4/ENCFF830BXD_ENCFF835KIQ_ENCFF452NQO.bigBed,ENCSR000EMS,ENCFF830BXD,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EMS-ENCFF830BXD.tsv,https://www.encodeproject.org/files/ENCFF830BXD/@@download/ENCFF830BXD.bigWig,,,,,ENCSR000DRC,ENCFF835KIQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DRC-ENCFF835KIQ.tsv,https://www.encodeproject.org/files/ENCFF835KIQ/@@download/ENCFF835KIQ.bigWig,,,,,ENCSR000DRE,ENCFF452NQO,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DRE-ENCFF452NQO.tsv,https://www.encodeproject.org/files/ENCFF452NQO/@@download/ENCFF452NQO.bigWig,,no
GM12891,GM12891,DNase,Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF933EUW.bed,https://downloads.wenglab.org/Registry-V4/ENCFF933EUW.bigBed,ENCSR000EJE,ENCFF933EUW,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EJE-ENCFF933EUW.tsv,https://www.encodeproject.org/files/ENCFF933EUW/@@download/ENCFF933EUW.bigWig,,,,,,,,,,,,,,,,,,no
GM12892,GM12892,DNase,Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF341HKW.bed,https://downloads.wenglab.org/Registry-V4/ENCFF341HKW.bigBed,ENCSR000EJF,ENCFF341HKW,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EJF-ENCFF341HKW.tsv,https://www.encodeproject.org/files/ENCFF341HKW/@@download/ENCFF341HKW.bigWig,,,,,,,,,,,,,,,,,,no
GM13976,GM13976,"DNase,CTCF",Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF239XXV_ENCFF199JKB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF239XXV_ENCFF199JKB.bigBed,ENCSR000EJG,ENCFF239XXV,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EJG-ENCFF239XXV.tsv,https://www.encodeproject.org/files/ENCFF239XXV/@@download/ENCFF239XXV.bigWig,,,,,,,,,,,,,ENCSR000DKZ,ENCFF199JKB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DKZ-ENCFF199JKB.tsv,https://www.encodeproject.org/files/ENCFF199JKB/@@download/ENCFF199JKB.bigWig,,no
GM13977,GM13977,"DNase,CTCF",Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF947FNR_ENCFF233CKI.bed,https://downloads.wenglab.org/Registry-V4/ENCFF947FNR_ENCFF233CKI.bigBed,ENCSR000EJH,ENCFF947FNR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EJH-ENCFF947FNR.tsv,https://www.encodeproject.org/files/ENCFF947FNR/@@download/ENCFF947FNR.bigWig,,,,,,,,,,,,,ENCSR000DLB,ENCFF233CKI,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DLB-ENCFF233CKI.tsv,https://www.encodeproject.org/files/ENCFF233CKI/@@download/ENCFF233CKI.bigWig,,no
GM19238,GM19238,DNase,Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF985KOZ.bed,https://downloads.wenglab.org/Registry-V4/ENCFF985KOZ.bigBed,ENCSR000EJJ,ENCFF985KOZ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EJJ-ENCFF985KOZ.tsv,https://www.encodeproject.org/files/ENCFF985KOZ/@@download/ENCFF985KOZ.bigWig,,,,,,,,,,,,,,,,,,no
GM19239,GM19239,DNase,Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF807IGB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF807IGB.bigBed,ENCSR000EJK,ENCFF807IGB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EJK-ENCFF807IGB.tsv,https://www.encodeproject.org/files/ENCFF807IGB/@@download/ENCFF807IGB.bigWig,,,,,,,,,,,,,,,,,,no
GM19240,GM19240,DNase,Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF949XIH.bed,https://downloads.wenglab.org/Registry-V4/ENCFF949XIH.bigBed,ENCSR000EJL,ENCFF949XIH,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EJL-ENCFF949XIH.tsv,https://www.encodeproject.org/files/ENCFF949XIH/@@download/ENCFF949XIH.bigWig,,,,,,,,,,,,,,,,,,no
GM20000,GM20000,"DNase,CTCF",Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF506KKF_ENCFF795QXM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF506KKF_ENCFF795QXM.bigBed,ENCSR000EJM,ENCFF506KKF,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EJM-ENCFF506KKF.tsv,https://www.encodeproject.org/files/ENCFF506KKF/@@download/ENCFF506KKF.bigWig,,,,,,,,,,,,,ENCSR000DLG,ENCFF795QXM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DLG-ENCFF795QXM.tsv,https://www.encodeproject.org/files/ENCFF795QXM/@@download/ENCFF795QXM.bigWig,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF624CCK.bed,https://downloads.wenglab.org/Registry-V4/ENCFF624CCK.bigBed,ENCSR000EMK,ENCFF624CCK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000EMK-ENCFF624CCK.tsv,https://www.encodeproject.org/files/ENCFF624CCK/@@download/ENCFF624CCK.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF567PRD.bed,https://downloads.wenglab.org/Registry-V4/ENCFF567PRD.bigBed,ENCSR328UMC,ENCFF567PRD,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR328UMC-ENCFF567PRD.tsv,https://www.encodeproject.org/files/ENCFF567PRD/@@download/ENCFF567PRD.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF648LHT.bed,https://downloads.wenglab.org/Registry-V4/ENCFF648LHT.bigBed,ENCSR098PTC,ENCFF648LHT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR098PTC-ENCFF648LHT.tsv,https://www.encodeproject.org/files/ENCFF648LHT/@@download/ENCFF648LHT.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF338HAQ.bed,https://downloads.wenglab.org/Registry-V4/ENCFF338HAQ.bigBed,ENCSR115YPI,ENCFF338HAQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR115YPI-ENCFF338HAQ.tsv,https://www.encodeproject.org/files/ENCFF338HAQ/@@download/ENCFF338HAQ.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF746ODB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF746ODB.bigBed,ENCSR420NOA,ENCFF746ODB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR420NOA-ENCFF746ODB.tsv,https://www.encodeproject.org/files/ENCFF746ODB/@@download/ENCFF746ODB.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF271NTU.bed,https://downloads.wenglab.org/Registry-V4/ENCFF271NTU.bigBed,ENCSR855FOP,ENCFF271NTU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR855FOP-ENCFF271NTU.tsv,https://www.encodeproject.org/files/ENCFF271NTU/@@download/ENCFF271NTU.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF322YXK.bed,https://downloads.wenglab.org/Registry-V4/ENCFF322YXK.bigBed,ENCSR937UWI,ENCFF322YXK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR937UWI-ENCFF322YXK.tsv,https://www.encodeproject.org/files/ENCFF322YXK/@@download/ENCFF322YXK.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF841CYA.bed,https://downloads.wenglab.org/Registry-V4/ENCFF841CYA.bigBed,ENCSR362JSZ,ENCFF841CYA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR362JSZ-ENCFF841CYA.tsv,https://www.encodeproject.org/files/ENCFF841CYA/@@download/ENCFF841CYA.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF028ZFZ.bed,https://downloads.wenglab.org/Registry-V4/ENCFF028ZFZ.bigBed,ENCSR493IAY,ENCFF028ZFZ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR493IAY-ENCFF028ZFZ.tsv,https://www.encodeproject.org/files/ENCFF028ZFZ/@@download/ENCFF028ZFZ.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF644AXQ.bed,https://downloads.wenglab.org/Registry-V4/ENCFF644AXQ.bigBed,ENCSR148VUP,ENCFF644AXQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR148VUP-ENCFF644AXQ.tsv,https://www.encodeproject.org/files/ENCFF644AXQ/@@download/ENCFF644AXQ.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF633NER.bed,https://downloads.wenglab.org/Registry-V4/ENCFF633NER.bigBed,ENCSR564JUY,ENCFF633NER,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR564JUY-ENCFF633NER.tsv,https://www.encodeproject.org/files/ENCFF633NER/@@download/ENCFF633NER.bigWig,,,,,,,,,,,,,,,,,,no
Hematopoietic multipotent progenitor cell (in vitro differentiated cells),Hematopoietic multipotent progenitor cell (in vitro differentiated cells),DNase,Blood,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF141GMK.bed,https://downloads.wenglab.org/Registry-V4/ENCFF141GMK.bigBed,ENCSR845CFB,ENCFF141GMK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR845CFB-ENCFF141GMK.tsv,https://www.encodeproject.org/files/ENCFF141GMK/@@download/ENCFF141GMK.bigWig,,,,,,,,,,,,,,,,,,no
"Inflammatory macrophage, male adult (40 years)","Inflammatory macrophage, male adult (40 years)",DNase,Blood,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF738EVM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF738EVM.bigBed,ENCSR721XAP,ENCFF738EVM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR721XAP-ENCFF738EVM.tsv,https://www.encodeproject.org/files/ENCFF738EVM/@@download/ENCFF738EVM.bigWig,,,,,,,,,,,,,,,,,,no
