Tissue/Biosample,Biosample,Assays,Organ/Tissue,Sample Type,Life Stage,Collection,cCREs (.bed),cCREs (.bigBed),DNase Exp. ID,DNase File ID,DNase Z-scores,DNase Signal,ATAC Exp. ID,ATAC File ID,ATAC Z-scores,ATAC Signal,H3K4me3 Exp. ID,H3K4me3 File ID,H3K4me3 Z-scores,H3K4me3 Signal,H3K27ac Exp. ID,H3K27ac File ID,H3K27ac Z-scores,H3K27ac Signal,CTCF Exp. ID,CTCF File ID,CTCF Z-scores,CTCF Signal,ChromHMM States,Has RNA Seq
"Neural tube, mixed sex embryo (12.5 days) strain B6NCrl C57BL/6","Neural tube, mixed sex embryo (12.5 days) strain B6NCrl C57BL/6","ATAC,H3K4me3,H3K27ac",Epithelium,Tissue,Embryonic,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF380SYY_ENCFF879XPV.bed,https://downloads.wenglab.org/Registry-V4/ENCFF380SYY_ENCFF879XPV.bigBed,,,,,ENCSR690VOH,ENCFF762WBC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR690VOH-ENCFF762WBC.tsv,,ENCSR538SRO,ENCFF380SYY,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR538SRO-ENCFF380SYY.tsv,,ENCSR891SAW,ENCFF879XPV,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR891SAW-ENCFF879XPV.tsv,,,,,,https://downloads.wenglab.org/Registry-V4/ENCFF715PSZ.bigBed,yes
"Neural tube, mixed sex embryo (13.5 days) strain B6NCrl C57BL/6","Neural tube, mixed sex embryo (13.5 days) strain B6NCrl C57BL/6","ATAC,H3K4me3,H3K27ac",Epithelium,Tissue,Embryonic,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF036CBQ_ENCFF453QHO.bed,https://downloads.wenglab.org/Registry-V4/ENCFF036CBQ_ENCFF453QHO.bigBed,,,,,ENCSR217NOA,ENCFF869JSQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR217NOA-ENCFF869JSQ.tsv,,ENCSR704IWS,ENCFF036CBQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR704IWS-ENCFF036CBQ.tsv,,ENCSR289SWJ,ENCFF453QHO,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR289SWJ-ENCFF453QHO.tsv,,,,,,https://downloads.wenglab.org/Registry-V4/ENCFF673BTO.bigBed,yes
"Neural tube, mixed sex embryo (14.5 days) strain B6NTac;B6NCrl/Lap C57BL/6","Neural tube, mixed sex embryo (14.5 days) strain B6NTac;B6NCrl/Lap C57BL/6","ATAC,H3K4me3,H3K27ac",Epithelium,Tissue,Embryonic,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF430CDF_ENCFF110NUX.bed,https://downloads.wenglab.org/Registry-V4/ENCFF430CDF_ENCFF110NUX.bigBed,,,,,ENCSR700QBR,ENCFF745AWN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR700QBR-ENCFF745AWN.tsv,,ENCSR093BYV,ENCFF430CDF,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR093BYV-ENCFF430CDF.tsv,,ENCSR265NBM,ENCFF110NUX,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR265NBM-ENCFF110NUX.tsv,,,,,,https://downloads.wenglab.org/Registry-V4/ENCFF297TXW.bigBed,no
"Neural tube, mixed sex embryo (15.5 days) strain B6NCrl C57BL/6","Neural tube, mixed sex embryo (15.5 days) strain B6NCrl C57BL/6","ATAC,H3K4me3,H3K27ac",Epithelium,Tissue,Embryonic,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF119DJX_ENCFF984KZH.bed,https://downloads.wenglab.org/Registry-V4/ENCFF119DJX_ENCFF984KZH.bigBed,,,,,ENCSR983JWA,ENCFF931NRR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR983JWA-ENCFF931NRR.tsv,,ENCSR044SNE,ENCFF119DJX,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR044SNE-ENCFF119DJX.tsv,,ENCSR241BSK,ENCFF984KZH,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR241BSK-ENCFF984KZH.tsv,,,,,,https://downloads.wenglab.org/Registry-V4/ENCFF624UWR.bigBed,yes
Eye,,,,,,,"https://downloads.wenglab.org/eye.noccl.cCREs.bed,https://downloads.wenglab.org/eye.all.cCREs.bed",,,,,,,,,,,,,,,,,,,,,,,no
"Muller cell, mixed sex postnatal (12 days) strain B6NCrl C57BL/6","Muller cell, mixed sex postnatal (12 days) strain B6NCrl C57BL/6",DNase,Eye,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF084PKJ.bed,https://downloads.wenglab.org/Registry-V4/ENCFF084PKJ.bigBed,ENCSR666HFH,ENCFF084PKJ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR666HFH-ENCFF084PKJ.tsv,,,,,,,,,,,,,,,,,,,no
"Retina, mixed sex embryo (14.5 days) strain B6NCrl C57BL/6","Retina, mixed sex embryo (14.5 days) strain B6NCrl C57BL/6",DNase,Eye,Tissue,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF641XAC.bed,https://downloads.wenglab.org/Registry-V4/ENCFF641XAC.bigBed,ENCSR488VEQ,ENCFF641XAC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR488VEQ-ENCFF641XAC.tsv,,,,,,,,,,,,,,,,,,,no
"Retina, male adult (2 months) strain C57BL/6J C57BL/6","Retina, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Eye,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF890DBN.bed,https://downloads.wenglab.org/Registry-V4/ENCFF890DBN.bigBed,ENCSR000CNW,ENCFF890DBN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNW-ENCFF890DBN.tsv,,,,,,,,,,,,,,,,,,,no
"Retina, male postnatal (1 day) strain C57BL/6J C57BL/6","Retina, male postnatal (1 day) strain C57BL/6J C57BL/6",DNase,Eye,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF269QXX.bed,https://downloads.wenglab.org/Registry-V4/ENCFF269QXX.bigBed,ENCSR000CNV,ENCFF269QXX,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNV-ENCFF269QXX.tsv,,,,,,,,,,,,,,,,,,,no
"Retina, male postnatal (7 days) strain C57BL/6J C57BL/6","Retina, male postnatal (7 days) strain C57BL/6J C57BL/6",DNase,Eye,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF921PMK.bed,https://downloads.wenglab.org/Registry-V4/ENCFF921PMK.bigBed,ENCSR000CNU,ENCFF921PMK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNU-ENCFF921PMK.tsv,,,,,,,,,,,,,,,,,,,no
