Tissue/Biosample,Biosample,Assays,Organ/Tissue,Sample Type,Life Stage,Collection,cCREs (.bed),cCREs (.bigBed),DNase Exp. ID,DNase File ID,DNase Z-scores,DNase Signal,ATAC Exp. ID,ATAC File ID,ATAC Z-scores,ATAC Signal,H3K4me3 Exp. ID,H3K4me3 File ID,H3K4me3 Z-scores,H3K4me3 Signal,H3K27ac Exp. ID,H3K27ac File ID,H3K27ac Z-scores,H3K27ac Signal,CTCF Exp. ID,CTCF File ID,CTCF Z-scores,CTCF Signal,ChromHMM States,Has RNA Seq
Adipose,,,,,,,https://downloads.wenglab.org/adipose.noccl.cCREs.bed,,,,,,,,,,,,,,,,,,,,,,,no
"Fat pad, male adult (2 months) strain C57BL/6J C57BL/6","Fat pad, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF899BWR.bed,https://downloads.wenglab.org/Registry-V4/ENCFF899BWR.bigBed,ENCSR000CMZ,ENCFF899BWR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMZ-ENCFF899BWR.tsv,,,,,,,,,,,,,,,,,,,no
"Gonadal fat pad, male adult (2 months) strain C57BL/6J C57BL/6","Gonadal fat pad, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF148JTM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF148JTM.bigBed,ENCSR000CNC,ENCFF148JTM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNC-ENCFF148JTM.tsv,,,,,,,,,,,,,,,,,,,no
"Brown adipose tissue, male adult (24 weeks) strain B6NCrl C57BL/6","Brown adipose tissue, male adult (24 weeks) strain B6NCrl C57BL/6","H3K4me3,H3K27ac",Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF409WOB_ENCFF476CKA.bed,https://downloads.wenglab.org/Registry-V4/ENCFF409WOB_ENCFF476CKA.bigBed,,,,,,,,,ENCSR000CFB,ENCFF409WOB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CFB-ENCFF409WOB.tsv,,ENCSR000CEZ,ENCFF476CKA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CEZ-ENCFF476CKA.tsv,,,,,,,no
Adrenal gland,,,,,,,https://downloads.wenglab.org/adrenal_gland.noccl.cCREs.bed,,,,,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female postnatal (10 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female postnatal (10 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF431GVW.bed,https://downloads.wenglab.org/Registry-V4/ENCFF431GVW.bigBed,ENCSR923UKN,ENCFF431GVW,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR923UKN-ENCFF431GVW.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female postnatal (14 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female postnatal (14 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF106WKK.bed,https://downloads.wenglab.org/Registry-V4/ENCFF106WKK.bigBed,ENCSR837TJD,ENCFF106WKK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR837TJD-ENCFF106WKK.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female adult (2 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female adult (2 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF673OVH.bed,https://downloads.wenglab.org/Registry-V4/ENCFF673OVH.bigBed,ENCSR455VIA,ENCFF673OVH,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR455VIA-ENCFF673OVH.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female postnatal (36 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female postnatal (36 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF601XSB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF601XSB.bigBed,ENCSR365LKY,ENCFF601XSB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR365LKY-ENCFF601XSB.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female postnatal (4 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female postnatal (4 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF934ESX.bed,https://downloads.wenglab.org/Registry-V4/ENCFF934ESX.bigBed,ENCSR840HMW,ENCFF934ESX,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR840HMW-ENCFF934ESX.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female adult (8-10 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female adult (8-10 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF744EEA.bed,https://downloads.wenglab.org/Registry-V4/ENCFF744EEA.bigBed,ENCSR655MEK,ENCFF744EEA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR655MEK-ENCFF744EEA.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female adult (18-20 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female adult (18-20 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF347OHB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF347OHB.bigBed,ENCSR406JCQ,ENCFF347OHB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR406JCQ-ENCFF347OHB.tsv,,,,,,,,,,,,,,,,,,,yes
"Adrenal gland, male postnatal (10 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, male postnatal (10 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF328XIU.bed,https://downloads.wenglab.org/Registry-V4/ENCFF328XIU.bigBed,ENCSR831ITR,ENCFF328XIU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR831ITR-ENCFF328XIU.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male postnatal (14 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, male postnatal (14 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF937FWN.bed,https://downloads.wenglab.org/Registry-V4/ENCFF937FWN.bigBed,ENCSR205UJK,ENCFF937FWN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR205UJK-ENCFF937FWN.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male postnatal (25 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, male postnatal (25 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF203JYG.bed,https://downloads.wenglab.org/Registry-V4/ENCFF203JYG.bigBed,ENCSR428CWD,ENCFF203JYG,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR428CWD-ENCFF203JYG.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male adult (2 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, male adult (2 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF721WGA.bed,https://downloads.wenglab.org/Registry-V4/ENCFF721WGA.bigBed,ENCSR204WCY,ENCFF721WGA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR204WCY-ENCFF721WGA.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male postnatal (36 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, male postnatal (36 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF156YWL.bed,https://downloads.wenglab.org/Registry-V4/ENCFF156YWL.bigBed,ENCSR385MRA,ENCFF156YWL,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR385MRA-ENCFF156YWL.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male postnatal (4 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, male postnatal (4 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF173KBA.bed,https://downloads.wenglab.org/Registry-V4/ENCFF173KBA.bigBed,ENCSR822RKU,ENCFF173KBA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR822RKU-ENCFF173KBA.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, male adult (18-20 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, male adult (18-20 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF753WAM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF753WAM.bigBed,ENCSR021YHN,ENCFF753WAM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR021YHN-ENCFF753WAM.tsv,,,,,,,,,,,,,,,,,,,yes
Blood,,,,,,,"https://downloads.wenglab.org/blood.noccl.cCREs.bed,https://downloads.wenglab.org/blood.all.cCREs.bed",,,,,,,,,,,,,,,,,,,,,,,no
"CH12.LX, strain B10.H-2aH-4bp/Wts B10.H-2aH-4bp/Wts","CH12.LX, strain B10.H-2aH-4bp/Wts B10.H-2aH-4bp/Wts","DNase,H3K4me3,H3K27ac,CTCF",Blood,Cell line,Adult,Core,https://downloads.wenglab.org/Registry-V4/ENCFF228LWM_ENCFF420ORJ_ENCFF666CND_ENCFF499GIZ.bed,https://downloads.wenglab.org/Registry-V4/ENCFF228LWM_ENCFF420ORJ_ENCFF666CND_ENCFF499GIZ.bigBed,ENCSR000CMQ,ENCFF228LWM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMQ-ENCFF228LWM.tsv,,,,,,ENCSR000CGK,ENCFF420ORJ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CGK-ENCFF420ORJ.tsv,,ENCSR000CGJ,ENCFF666CND,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CGJ-ENCFF666CND.tsv,,ENCSR000ERM,ENCFF499GIZ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000ERM-ENCFF499GIZ.tsv,,,yes
"A20, strain A20 BALB/cAnN","A20, strain A20 BALB/cAnN",DNase,Blood,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF242VSF.bed,https://downloads.wenglab.org/Registry-V4/ENCFF242VSF.bigBed,ENCSR000CML,ENCFF242VSF,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CML-ENCFF242VSF.tsv,,,,,,,,,,,,,,,,,,,no
"B cell, male adult (2 months) strain C57BL/6J C57BL/6","B cell, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Blood,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF039YNN.bed,https://downloads.wenglab.org/Registry-V4/ENCFF039YNN.bigBed,ENCSR000CMM,ENCFF039YNN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMM-ENCFF039YNN.tsv,,,,,,,,,,,,,,,,,,,no
"CD4-positive, CD25-positive, alpha-beta regulatory T cell, male adult (2 months) strain C57BL/6J C57BL/6","CD4-positive, CD25-positive, alpha-beta regulatory T cell, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Blood,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF451FMO.bed,https://downloads.wenglab.org/Registry-V4/ENCFF451FMO.bigBed,ENCSR000COC,ENCFF451FMO,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000COC-ENCFF451FMO.tsv,,,,,,,,,,,,,,,,,,,no
"CD4-positive helper T cell, male adult (2 months) strain C57BL/6J C57BL/6","CD4-positive helper T cell, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Blood,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF442KBM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF442KBM.bigBed,ENCSR000COA,ENCFF442KBM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000COA-ENCFF442KBM.tsv,,,,,,,,,,,,,,,,,,,no
"Induced T-regulatory cell, male adult (2 months) strain C57BL/6J C57BL/6","Induced T-regulatory cell, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Blood,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF572CPT.bed,https://downloads.wenglab.org/Registry-V4/ENCFF572CPT.bigBed,ENCSR000COD,ENCFF572CPT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000COD-ENCFF572CPT.tsv,,,,,,,,,,,,,,,,,,,no
"Naive thymus-derived CD4-positive, alpha-beta T cell, male adult (2 months) strain C57BL/6J C57BL/6","Naive thymus-derived CD4-positive, alpha-beta T cell, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Blood,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF723SHA.bed,https://downloads.wenglab.org/Registry-V4/ENCFF723SHA.bigBed,ENCSR000CNZ,ENCFF723SHA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNZ-ENCFF723SHA.tsv,,,,,,,,,,,,,,,,,,,no
"Splenic B cell, male adult (2 months) strain C57BL/6J C57BL/6","Splenic B cell, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Blood,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF433ETL.bed,https://downloads.wenglab.org/Registry-V4/ENCFF433ETL.bigBed,ENCSR000CMN,ENCFF433ETL,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMN-ENCFF433ETL.tsv,,,,,,,,,,,,,,,,,,,no
"Hematopoietic stem cell, adult (5-6 weeks) strain C57BL/6J C57BL/6","Hematopoietic stem cell, adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Blood,Primary cell,Adult,Ancillary,,,,,,,ENCSR366VBB,ENCFF802VYT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR366VBB-ENCFF802VYT.tsv,,,,,,,,,,,,,,,no
"Hematopoietic stem cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6","Hematopoietic stem cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Blood,Primary cell,Adult,Ancillary,,,,,,,ENCSR453AWR,ENCFF496XJS,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR453AWR-ENCFF496XJS.tsv,,,,,,,,,,,,,,,no
"Monocyte, adult (5-6 weeks) strain C57BL/6J C57BL/6","Monocyte, adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Blood,Primary cell,Adult,Ancillary,,,,,,,ENCSR862JVD,ENCFF220DSP,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR862JVD-ENCFF220DSP.tsv,,,,,,,,,,,,,,,no
"Neutrophil, adult (5-6 weeks) strain C57BL/6J C57BL/6","Neutrophil, adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Blood,Primary cell,Adult,Ancillary,,,,,,,ENCSR351YUI,ENCFF809RKK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR351YUI-ENCFF809RKK.tsv,,,,,,,,,,,,,,,no
Blood marrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
"C-Kit-negative CD71-positive TER-119-positive erythroid progenitor cells, male embryo (14.5 days) CD-1","C-Kit-negative CD71-positive TER-119-positive erythroid progenitor cells, male embryo (14.5 days) CD-1",DNase,Blood marrow,Primary cell,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF599DXB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF599DXB.bigBed,ENCSR000CMR,ENCFF599DXB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMR-ENCFF599DXB.tsv,,,,,,,,,,,,,,,,,,,no
"C-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells, male embryo (14.5 days) CD-1","C-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells, male embryo (14.5 days) CD-1",DNase,Blood marrow,Primary cell,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF388NWY.bed,https://downloads.wenglab.org/Registry-V4/ENCFF388NWY.bigBed,ENCSR000CMS,ENCFF388NWY,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMS-ENCFF388NWY.tsv,,,,,,,,,,,,,,,,,,,no
"C-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells, male embryo (14.5 days) CD-1","C-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells, male embryo (14.5 days) CD-1",DNase,Blood marrow,Primary cell,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF842TRK.bed,https://downloads.wenglab.org/Registry-V4/ENCFF842TRK.bigBed,ENCSR000CMT,ENCFF842TRK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMT-ENCFF842TRK.tsv,,,,,,,,,,,,,,,,,,,no
"C-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells, male embryo (14.5 days) CD-1","C-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells, male embryo (14.5 days) CD-1",DNase,Blood marrow,Primary cell,Embryonic,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF836VBR.bed,https://downloads.wenglab.org/Registry-V4/ENCFF836VBR.bigBed,ENCSR000CMU,ENCFF836VBR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMU-ENCFF836VBR.tsv,,,,,,,,,,,,,,,,,,,no
"Leukemia stem cell, strain C57BL/6J C57BL/6 genetically modified (insertion) using transduction inserting H. sapiens MLLT3","Leukemia stem cell, strain C57BL/6J C57BL/6 genetically modified (insertion) using transduction inserting H. sapiens MLLT3",DNase,Blood marrow,Primary cell,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF415XRN.bed,https://downloads.wenglab.org/Registry-V4/ENCFF415XRN.bigBed,ENCSR855ASN,ENCFF415XRN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR855ASN-ENCFF415XRN.tsv,,,,,,,,,,,,,,,,,,,no
Bone marrow,,,,,,,"https://downloads.wenglab.org/bone_marrow.noccl.cCREs.bed,https://downloads.wenglab.org/bone_marrow.all.cCREs.bed",,,,,,,,,,,,,,,,,,,,,,,no
"416B, strain 416B B6D2F1/J","416B, strain 416B B6D2F1/J",DNase,Bone marrow,Cell line,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF108FDT.bed,https://downloads.wenglab.org/Registry-V4/ENCFF108FDT.bigBed,ENCSR000CMK,ENCFF108FDT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMK-ENCFF108FDT.tsv,,,,,,,,,,,,,,,,,,,no
Erythroblast (in vitro differentiated cells),Erythroblast (in vitro differentiated cells),DNase,Bone marrow,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF939PNR.bed,https://downloads.wenglab.org/Registry-V4/ENCFF939PNR.bigBed,ENCSR000CNQ,ENCFF939PNR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNQ-ENCFF939PNR.tsv,,,,,,,,,,,,,,,,,,,no
Erythroblast (in vitro differentiated cells),Erythroblast (in vitro differentiated cells),DNase,Bone marrow,In vitro differentiated cells,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF272GFH.bed,https://downloads.wenglab.org/Registry-V4/ENCFF272GFH.bigBed,ENCSR000CNR,ENCFF272GFH,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNR-ENCFF272GFH.tsv,,,,,,,,,,,,,,,,,,,no
"Erythroblast, mixed sex embryo (14.5 days) CD-1","Erythroblast, mixed sex embryo (14.5 days) CD-1",H3K4me3,Bone marrow,Primary cell,Embryonic,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF780SUE.bed,https://downloads.wenglab.org/Registry-V4/ENCFF780SUE.bigBed,,,,,,,,,ENCSR000DHG,ENCFF780SUE,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DHG-ENCFF780SUE.tsv,,,,,,,,,,,no
"Megakaryocyte, mixed sex embryo (14.5 days) CD-1","Megakaryocyte, mixed sex embryo (14.5 days) CD-1",H3K4me3,Bone marrow,Primary cell,Embryonic,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF617EQR.bed,https://downloads.wenglab.org/Registry-V4/ENCFF617EQR.bigBed,,,,,,,,,ENCSR000DHT,ENCFF617EQR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000DHT-ENCFF617EQR.tsv,,,,,,,,,,,no
"Bone marrow macrophage, male adult (2 months) strain Bruce4 C57BL/6","Bone marrow macrophage, male adult (2 months) strain Bruce4 C57BL/6","H3K4me3,H3K27ac,CTCF",Bone marrow,Primary cell,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF549CDI_ENCFF833TRU_ENCFF907FBA.bed,https://downloads.wenglab.org/Registry-V4/ENCFF549CDI_ENCFF833TRU_ENCFF907FBA.bigBed,,,,,,,,,ENCSR000CFF,ENCFF549CDI,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CFF-ENCFF549CDI.tsv,,ENCSR000CFD,ENCFF833TRU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CFD-ENCFF833TRU.tsv,,ENCSR000CFJ,ENCFF907FBA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CFJ-ENCFF907FBA.tsv,,,no
"Bone marrow, male adult (2 months) strain B6NCrl C57BL/6","Bone marrow, male adult (2 months) strain B6NCrl C57BL/6","H3K4me3,H3K27ac,CTCF",Bone marrow,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF620KTZ_ENCFF716JUE_ENCFF309GTL.bed,https://downloads.wenglab.org/Registry-V4/ENCFF620KTZ_ENCFF716JUE_ENCFF309GTL.bigBed,,,,,,,,,ENCSR000CAH,ENCFF620KTZ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CAH-ENCFF620KTZ.tsv,,ENCSR000CCL,ENCFF716JUE,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CCL-ENCFF716JUE.tsv,,ENCSR000CBL,ENCFF309GTL,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CBL-ENCFF309GTL.tsv,,,no
"Common myeloid progenitor, male adult (5-6 weeks) strain C57BL/6J C57BL/6","Common myeloid progenitor, male adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Bone marrow,Primary cell,Adult,Ancillary,,,,,,,ENCSR914PYX,ENCFF444GUU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR914PYX-ENCFF444GUU.tsv,,,,,,,,,,,,,,,no
"Erythroblast, male adult (5-6 weeks) strain C57BL/6J C57BL/6","Erythroblast, male adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Bone marrow,Primary cell,Adult,Ancillary,,,,,,,ENCSR793RAV,ENCFF400FFT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR793RAV-ENCFF400FFT.tsv,,,,,,,,,,,,,,,no
"Erythroid progenitor cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6","Erythroid progenitor cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Bone marrow,Primary cell,Adult,Ancillary,,,,,,,ENCSR136XSY,ENCFF056XPN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR136XSY-ENCFF056XPN.tsv,,,,,,,,,,,,,,,no
"Granulocyte monocyte progenitor cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6","Granulocyte monocyte progenitor cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Bone marrow,Primary cell,Adult,Ancillary,,,,,,,ENCSR257PGU,ENCFF174RBG,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR257PGU-ENCFF174RBG.tsv,,,,,,,,,,,,,,,no
"Megakaryocyte-erythroid progenitor cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6","Megakaryocyte-erythroid progenitor cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Bone marrow,Primary cell,Adult,Ancillary,,,,,,,ENCSR064IHX,ENCFF370LSN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR064IHX-ENCFF370LSN.tsv,,,,,,,,,,,,,,,no
"Megakaryocyte, male adult (5-6 weeks) strain C57BL/6J C57BL/6","Megakaryocyte, male adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Bone marrow,Primary cell,Adult,Ancillary,,,,,,,ENCSR498DQA,ENCFF942DXD,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR498DQA-ENCFF942DXD.tsv,,,,,,,,,,,,,,,no
"Megakaryocyte progenitor cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6","Megakaryocyte progenitor cell, male adult (5-6 weeks) strain C57BL/6J C57BL/6",ATAC,Bone marrow,Primary cell,Adult,Ancillary,,,,,,,ENCSR229QKB,ENCFF031KZO,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR229QKB-ENCFF031KZO.tsv,,,,,,,,,,,,,,,no
Brain,,,,,,,"https://downloads.wenglab.org/brain.noccl.cCREs.bed,https://downloads.wenglab.org/brain.all.cCREs.bed",,,,,,,,,,,,,,,,,,,,,,,no
